"";"ANIMAL_ID";"ppert";"Start";"value.start";"End";"value.end";"days_of_pert";"Min.Day";"Min.perc"
"92";46;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"93";47;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"94";47;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"95";48;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"96";48;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"97";49;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"98";49;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"99";50;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"100";50;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"101";51;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"102";51;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"103";52;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"104";52;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"105";53;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"106";53;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"107";54;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"108";54;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"109";55;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"110";55;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"111";56;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"112";56;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"113";57;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"114";57;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"115";58;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"116";58;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"117";59;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"118";59;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"119";60;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"120";60;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"121";61;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"122";61;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"123";62;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"124";62;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"125";63;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"126";63;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"127";64;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"128";64;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"129";65;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"130";65;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"131";66;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"132";66;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"133";67;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"134";67;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"135";68;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"136";68;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"137";69;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"138";69;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"139";70;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"140";70;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"141";71;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"142";71;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
